Typography_ID,Font_Pairing_Name,Category,Heading_Font,Body_Font,Presentation_Use,Slide_Title_Size,Slide_Body_Size,Slide_Caption_Size,Slide_Number_Size,Screen_Size,Projector_Size,Minimum_Visible_Size,Google_Fonts_URL,CSS_Import,Tailwind_Config,Mood_Style_Keywords,Best_For_Presentation,Worst_For_Presentation,Reading_Distance,Contrast_Notes,Accessibility_Notes
11,Financial Precision,Sans + Sans,IBM Plex Serif,IBM Plex Sans,Data + Report Slides,42-50pt,22-30pt,16-20pt,12pt,All,42-50pt,22pt,https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@300;400;500;600;700|IBM+Plex+Serif:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@300;400;500;600;700&family=IBM+Plex+Serif:wght@400;500;600;700&display=swap');","fontFamily: { serif: ['IBM Plex Serif', 'serif'], sans: ['IBM Plex Sans', 'sans-serif'] }","financial precise professional authoritative trustworthy","Financial reports, Board presentations, Banking, Investment, Annual reports","Creative, Design, Informal",15-30ft,"Serif for headings adds authority, sans for body ensures readability.",Good for presentations
12,Data Dense,Sans + Sans,IBM Plex Mono,IBM Plex Sans,Data + Chart Slides,40-48pt,18-26pt,14-18pt,10pt,All,40-48pt,18pt,https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@300;400;500;600;700|IBM+Plex+Mono:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@300;400;500;600;700&family=IBM+Plex+Mono:wght@400;500;600;700&display=swap');","fontFamily: { mono: ['IBM Plex Mono', 'monospace'], sans: ['IBM Plex Sans', 'sans-serif'] }","data dense technical precise tabular","Data tables, Charts, Technical specifications, Financial data, Dense information","Creative content, Marketing, Entertainment",15-30ft,"Mono font for data ensures precision. Good for numbers.",Good for data presentations
13,Elegant Tech,Sans + Sans,Manrope,Inter,Title + Feature Slides,46-56pt,24-32pt,18-20pt,12pt,All,46-56pt,24pt,https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700|Manrope:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=Manrope:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Manrope', 'sans-serif'], body: ['Inter', 'sans-serif'] }","elegant tech modern clean sophisticated","Tech products, SaaS, Modern enterprise, Innovation companies","Traditional industries, Conservative, Formal",15-30ft,"Manrope adds elegance, Inter ensures clarity.",Good for presentations
14,Conference Pro,Sans + Sans,Montserrat,Open Sans,All Slide Types,44-54pt,24-32pt,18-20pt,12pt,All,44-54pt,24pt,https://fonts.google.com/share?selection.family=Montserrat:wght@400;500;600;700;800|Open+Sans:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Montserrat:wght@400;500;600;700;800&family=Open+Sans:wght@300;400;500;600;700&display=swap');","fontFamily: { heading: ['Montserrat', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }","conference professional clear versatile readable","Conferences, Workshops, Training, Public speaking, Academic","None - universal",15-30ft,"Montserrat's geometric structure with Open Sans readability.",Excellent for presentations
15,Scientific,Sans + Sans,Roboto,Roboto,Technical + Data Slides,42-52pt,22-30pt,16-20pt,12pt,All,42-52pt,22pt,https://fonts.google.com/share?selection.family=Roboto:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500;600;700&display=swap');","fontFamily: { sans: ['Roboto', 'sans-serif'] }","scientific technical precise clean modern","Scientific presentations, Research, Medical, Technical education, Engineering","Creative, Design, Entertainment",15-30ft,"Robust and versatile. Good for technical content.",Good for presentations
16,Humanist,Sans + Sans,Work Sans,Work Sans,All Slide Types,44-54pt,24-32pt,18-20pt,12pt,All,44-54pt,24pt,https://fonts.google.com/share?selection.family=Work+Sans:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Work+Sans:wght@300;400;500;600;700&display=swap');","fontFamily: { sans: ['Work Sans', 'sans-serif'] }","humanist friendly accessible modern","Social impact, Non-profit, Community, Accessibility-focused, User experience","Formal finance, Conservative",15-30ft,"Humanist warmth with professional structure.",Good for presentations
17,Architecture,Serif + Sans,Oswald,Open Sans,Title + Feature Slides,48-60pt,24-32pt,18-22pt,12pt,All,48-60pt,24pt,https://fonts.google.com/share?selection.family=Oswald:wght@400;500;600;700|Open+Sans:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Oswald:wght@400;500;600;700&family=Open+Sans:wght@300;400;500;600;700&display=swap');","fontFamily: { heading: ['Oswald', 'sans-serif'], body: ['Open Sans', 'sans-serif'] }","architecture structural bold industrial modern","Architecture, Design, Construction, Engineering, Industrial","Soft content, Wellness, Creative",15-30ft,"Oswald's strong vertical structure for impact.",Good for presentations
18,Gallery Art,Display + Sans,Tenor Sans,Source Sans Pro,Title + Gallery Slides,48-60pt,22-30pt,18-20pt,12pt,All,48-60pt,22pt,https://fonts.google.com/share?selection.family=Source+Sans+Pro:wght@300;400;600;700|Tenor+Sans:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Source+Sans+Pro:wght@300;400;600;700&family=Tenor+Sans:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Tenor Sans', 'sans-serif'], body: ['Source Sans Pro', 'sans-serif'] }","gallery artistic elegant cultural sophisticated","Art galleries, Museums, Cultural institutions, Photography, Fashion","Technical, Data-heavy",15-30ft,"Tenor Sans for elegant headings.",Good for presentations
19,Startup Bold,Display + Sans,Clash Display,General Sans,Title + Hero Slides,52-68pt,24-32pt,18-22pt,12pt,All,52-68pt,24pt,https://fonts.google.com/share?selection.family=General+Sans:wght@400;500;600;700|Clash+Display:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Clash+Display:wght@400;500;600;700&family=General+Sans:wght@400;500;600;700&display=swap');","fontFamily: { heading: ['Clash Display', 'sans-serif'], body: ['General Sans', 'sans-serif'] }","startup bold modern confident impactful","Startup pitches, Product launches, Innovation events, Tech conferences","Formal, Conservative, Traditional",15-30ft,"Bold display font for maximum impact.",Good for large venues
20,Legal Formal,Serif + Sans,Merriweather,Open Sans,Title + Document Slides,44-54pt,24-30pt,18-20pt,12pt,All,44-54pt,24pt,https://fonts.google.com/share?selection.family=Merriweather:wght@300;400;700|Open+Sans:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Merriweather:wght@300;400;700&family=Open+Sans:wght@300;400;500;600;700&display=swap');","fontFamily: { serif: ['Merriweather', 'serif'], body: ['Open Sans', 'sans-serif'] }","legal formal traditional authoritative trustworthy","Legal presentations, Government, Policy, Compliance, Formal reports","Creative, Modern tech, Informal",15-30ft,"Merriweather for traditional authority.",Good for presentations
21,Minimal Mono,Sans + Sans,Inter,JetBrains Mono,Code + Data Slides,42-50pt,20-28pt,16-20pt,12pt,All,42-50pt,20pt,https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700|JetBrains+Mono:wght@400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700&family=JetBrains+Mono:wght@400;500;600;700&display=swap');","fontFamily: { sans: ['Inter', 'sans-serif'], mono: ['JetBrains Mono', 'monospace'] }","minimal mono clean technical precise","Developer presentations, Technical documentation, API reviews, Code walks","Creative, Design, Marketing",15-30ft,"Clean sans for body, mono for code snippets.",Good for technical presentations
22,High Contrast,Sans + Sans,Archivo Black,Archivo,Title + Impact Slides,50-64pt,24-32pt,18-22pt,12pt,All,50-64pt,24pt,https://fonts.google.com/share?selection.family=Archivo:wght@400;500;600;700|Archivo+Black:wght@400,"@import url('https://fonts.googleapis.com/css2?family=Archivo:wght@400;500;600;700&family=Archivo+Black&display=swap');","fontFamily: { heading: ['Archivo Black', 'sans-serif'], body: ['Archivo', 'sans-serif'] }","high contrast bold impactful modern strong","Impact statements, Call to action, Announcements, Events, Marketing","Long-form reading, Data tables, Conservative",15-30ft,"Maximum impact for headlines.",Good for large venues
23,Editorial Modern,Serif + Sans,Lora,Open Sans,Title + Article Slides,46-56pt,24-30pt,18-20pt,12pt,All,46-56pt,24pt,https://fonts.google.com/share?selection.family=Lora:wght@400;500;600;700|Open+Sans:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;600;700&family=Open+Sans:wght@300;400;500;600;700&display=swap');","fontFamily: { serif: ['Lora', 'serif'], body: ['Open Sans', 'sans-serif'] }","editorial modern sophisticated readable engaging","Magazine-style, Content presentations, Journalism, Publishing, Long-form content","Technical, Code-heavy, Informal",15-30ft,"Lora's readability with modern flexibility.",Good for presentations
24,International,Sans + Sans,Noto Sans,Noto Sans,All Slide Types,44-54pt,24-32pt,18-20pt,12pt,All,44-54pt,24pt,https://fonts.google.com/share?selection.family=Noto+Sans:wght@300;400;500;600;700,"@import url('https://fonts.googleapis.com/css2?family=Noto+Sans:wght@300;400;500;600;700&display=swap');","fontFamily: { sans: ['Noto Sans', 'sans-serif'] }","international multilingual global accessible universal","International organizations, Global companies, Multilingual presentations, Localization","None - universal",15-30ft,"Best for multilingual content and international audiences.",Excellent for accessibility
25,Eco Nature,Serif + Sans,Merriweather,Lato,Title + Feature Slides,44-54pt,24-30pt,18-20pt,12pt,All,44-54pt,24pt,https://fonts.google.com/share?selection.family=Lato:wght@300;400;700|Merriweather:wght@300;400;700,"@import url('https://fonts.googleapis.com/css2?family=Lato:wght@300;400;700&family=Merriweather:wght@300;400;700&display=swap');","fontFamily: { serif: ['Merriweather', 'serif'], body: ['Lato', 'sans-serif'] }","eco nature sustainable organic earth-friendly","Environmental presentations, Sustainability, Organic brands, Non-profit, Agriculture","Technical, Formal finance",15-30ft,"Earthy and grounded typography.",Good for presentations
