Palette_ID,Product_Type,Keywords,Primary_Hex,Secondary_Hex,CTA_Hex,Background_Hex,Text_Hex,Border_Hex,Notes,Projector_Safety,Projector_Primary,Projector_Secondary,Projector_CTA,Projector_Background,Projector_Text,Contrast_Ratio,Dark_Background_OK,Light_Background_OK,Colorblind_Safe,Projector_Notes
19,Crypto,crypto, #7C3AED, #8B5CF6, #10B981, #111827, #F3F4F6, #4B5563,Dark theme + neon purple + green,No,#6D28D9,#7C3AED,#10B981,#1F2937,#F9FAFB,12:1,Yes,No,Partial,Dark theme needs dim room. Neon colors work well in dark.
20,Crypto Trading,crypto trading, #F59E0B, #FBBF24, #EF4444, #1F2937, #F3F4F6, #4B5563,Dark + amber + red alerts,No,#D97706,#F59E0B,#DC2626,#1F2937,#F9FAFB,12:1,Yes,No,No,Dark theme requires dim room. Red/amber may appear similar.
21,Gaming,gaming, #8B5CF6, #A78BFA, #F97316, #1F2937, #F3F4F6, #4B5563,Dark + vibrant purple + orange,No,#6D28D9,#7C3AED,#EA580C,#1F2937,#F9FAFB,12:1,Yes,No,Yes,Dark theme requires dim room. Good for gaming presentations.
22,Gaming Esports,gaming esports, #EF4444, #F87171, #3B82F6, #111827, #F3F4F6, #4B5563,Dark + red + blue contrast,No,#DC2626,#EF4444,#2563EB,#1F2937,#F9FAFB,12:1,Yes,No,Yes,High contrast dark theme. Good for gaming events.
23,Entertainment,entertainment, #EC4899, #F472B6, #8B5CF6, #111827, #F3F4F6, #4B5563,Pink + purple + dark,No,#DB2777,#EC4899,#7C3AED,#1F2937,#F9FAFB,12:1,Yes,No,Yes,Vibrant colors need dim room. Good for entertainment.
24,Media Publishing,media publishing, #1E293B, #334155, #F97316, #F8FAFC, #0F172A, #E2E8F0,News blue + white + accent orange,Yes,#0F172A,#1E293B,#EA580C,#FFFFFF,#000000,15:1,Yes,Yes,Yes,Clear and readable. Good for content presentations.
25,News Media,news media, #DC2626, #EF4444, #1D4ED8, #FFFFFF, #000000, #E5E7EB,Alert red + news blue,Yes,#B91C1C,#DC2626,#1E40AF,#FFFFFF,#000000,15:1,Yes,Yes,No,Red/green may be problematic. Use patterns for data.
26,Travel,travel, #0EA5E9, #38BDF8, #F97316, #F0F9FF, #0C4A6E, #7DD3FC,Sky blue + warm orange,Yes,#0284C7,#0EA5E9,#EA580C,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Energetic and inviting. Good for tourism presentations.
27,Travel Adventure,travel adventure, #78350F, #92400E, #F97316, #FFFBEB, #451A03, #FDE68A,Earth tones + vibrant orange,Yes,#451A03,#78350F,#EA580C,#FFFBEB,#000000,15:1,Yes,Yes,Yes,Earthy and warm. Good for adventure tourism.
28,Restaurant Food,restaurant food, #F97316, #FB923C, #15803D, #FFFBEB, #431407, #FED7AA,Warm orange + fresh green,Yes,#EA580C,#F97316,#166534,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Appetizing colors. Good for food industry.
29,Restaurant Fine Dining,restaurant fine dining, #1F2937, #374151, #CA8A04, #F9FAFB, #111827, #D1D5DB,Dark elegant + gold accent,Yes,#000000,#1F2937,#B8860B,#F9FAFB,#000000,15:1,Yes,No,Yes,Elegant dark theme. Requires dim room.
30,Real Estate,real estate, #1E40AF, #3B82F6, #059669, #F8FAFC, #1E3A8A, #E2E8F0,Trust blue + success green,Yes,#1E3A8A,#2563EB,#047857,#FFFFFF,#000000,15:1,Yes,Yes,Yes,Professional and trustworthy. Good for property presentations.
31,Real Estate Luxury,real estate luxury, #1F2937, #374151, #D4AF37, #F9FAFB, #111827, #D1D5DB,Dark + gold + white,Yes,#000000,#1F2937,#B8860B,#F9FAFB,#000000,15:1,Yes,No,Yes,Elegant dark theme. Gold may need contrast boost.
32,Construction,construction, #F59E0B, #FBBF24, #EF4444, #FEF3C7, #451A03, #FDE68A,Safety yellow + alert red,Yes,#D97706,#F59E0B,#DC2626,#FEF3C7,#000000,15:1,Yes,Yes,Yes,High visibility colors. Good for industry presentations.
33,Construction Safety,construction safety, #CA8A04, #EAB308, #EF4444, #FEFCE8, #422006, #FEF08A,Caution yellow + warning red,Yes,#A16207,#CA8A04,#DC2626,#FEFCE8,#000000,15:1,Yes,Yes,Yes,Safety-focused colors. Clear and visible.
34,Legal,legal, #1E3A5F, #1E40AF, #0D9488, #F8FAFC, #0F172A, #CBD5E1,Formal navy + professional teal,Yes,#1E3A8A,#1E3A8A,#0F766E,#FFFFFF,#000000,15:1,Yes,Yes,Yes,Formal and authoritative. Good for legal presentations.
35,Legal Corporate,legal corporate, #0F172A, #1E293B, #0369A1, #F8FAFC, #000000, #E2E8F0,Corporate dark + legal blue,Yes,#000000,#0F172A,#0369A1,#FFFFFF,#000000,15:1,Yes,Yes,Yes,Conservative and corporate. Good for business legal.
36,Non-Profit,non-profit, #0891B2, #22D3EE, #059669, #F0FDFA, #0E7490, #A5F3FC,Compassionate blue + hope green,Yes,#0E7490,#0891B2,#047857,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Warm and caring colors. Good for charity presentations.
37,Non-Profit Impact,non-profit impact, #059669, #10B981, #F59E0B, #ECFDF5, #064E3B, #A7F3D0,Impact green + growth yellow,Yes,#047857,#059669,#D97706,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Positive and hopeful. Good for impact reports.
38,Government,government, #1E3A8A, #2563EB, #059669, #F8FAFC, #0F172A, #E2E8F0,Official blue + service green,Yes,#1E3A8A,#1E40AF,#047857,#FFFFFF,#000000,15:1,Yes,Yes,Yes,Official and trustworthy. Good for public sector.
39,Government Federal,government federal, #1E3A5F, #1E40AF, #0D9488, #F0F4F8, #0A2540, #CBD5E1,Federal blue + formal white,Yes,#0F172A,#1E3A8A,#0F766E,#F0F4F8,#000000,15:1,Yes,Yes,Yes,Highly formal. Good for government presentations.
40,Event Conference,event conference, #7C3AED, #8B5CF6, #F97316, #F8FAFC, #1E1B4B, #E2E8F0,Event purple + accent orange,Yes,#6D28D9,#7C3AED,#EA580C,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Energetic and engaging. Good for event presentations.
41,Event Tech,event tech, #6366F1, #818CF8, #F97316, #F8FAFC, #1E1B4B, #C7D2FE,Tech purple + vibrant orange,Yes,#4F46E5,#6366F1,#EA580C,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Modern and tech-forward. Good for tech events.
42,Podcast,podcast, #1F2937, #374151, #F97316, #F3F4F6, #111827, #4B5563,Podcast dark + orange accent,No,#000000,#1F2937,#EA580C,#F9FAFB,#F3F4F6,15:1,Yes,No,Yes,Dark theme for recording style. Requires dim room.
43,Podcast Audio,podcast audio, #0EA5E9, #38BDF8, #EC4899, #F0F9FF, #0C4A6E, #7DD3FC,Audio blue + podcast pink,Yes,#0284C7,#0EA5E9,#DB2777,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Audio-focused colors. Good for audio/visual presentations.
44,SaaS Enterprise,sass enterprise, #1E40AF, #3B82F6, #0D9488, #F0F4F8, #1E3A8A, #BFDBFE,Enterprise blue + teal,Yes,#1E3A8A,#2563EB,#0F766E,#FFFFFF,#000000,15:1,Yes,Yes,Yes,Corporate and scalable. Good for enterprise sales.
45,SaaS SMB,sass smb, #6366F1, #818CF8, #10B981, #F8FAFC, #1E1B4B, #C7D2FE,SMB friendly purple + success green,Yes,#4F46E5,#6366F1,#047857,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Approachable and growth-focused. Good for SMB presentations.
46,Mobile App,mobile app, #6366F1, #818CF8, #F97316, #FFFFFF, #1E1B4B, #E5E7EB,App purple + action orange,Yes,#4F46E5,#6366F1,#EA580C,#FFFFFF,#000000,12:1,Yes,Yes,Yes,Modern app colors. Good for mobile presentations.
47,Mobile App Dark,mobile app dark, #1F2937, #374151, #A855F7, #111827, #F3F4F6, #4B5563,App dark + neon purple,No,#000000,#1F2937,#9333EA,#1F2937,#F9FAFB,12:1,Yes,No,Yes,Dark app theme. Requires dim room.
48,Analytics Data,analytics data, #0891B2, #22D3EE, #F59E0B, #F0F9FF, #164E63, #A5F3FC,Data cyan + chart yellow,Yes,#0E7490,#0891B3,#D97706,#FFFFFF,#000000,12:1,Yes,Yes,No,Ensure chart colors are distinguishable. Use patterns.
49,Analytics Dark,analytics dark, #1F2937, #374151, #22D3EE, #111827, #F3F4F6, #4B5563,Analytics dark + neon cyan,No,#000000,#1F2937,#22D3EE,#1F2937,#F9FAFB,12:1,Yes,No,No,Dark theme. Ensure chart colors are distinguishable.
50,Professional Services,professional services, #0F172A, #334155, #0369A1, #F8FAFC, #000000, #E2E8F0,Professional dark + blue,Yes,#000000,#0F172A,#0369A1,#FFFFFF,#000000,15:1,Yes,Yes,Yes,Conservative and professional. Good for consulting.
