Layout_ID,Layout_Name,Layout_Category,Content_Slots,Description,Best_For,Keywords,Aspect_Ratio_169,Aspect_Ratio_43,Minimum_Font_Size,Reading_Distance,Slide_Usage_Priority,Complexity_Score
12,Pricing Cards,Commercial,"Title:Top; Pricing_Cards:Main; CTA:Bottom","Horizontal layout with pricing cards side by side","Product pricing, service tiers, package comparison","pricing, price, tier, packages, commercial",16:9,4:3,20pt,12ft,High,Medium
13,Team Grid,Team,"Title:Top; Team_Members:Grid; Contact:Bottom","Grid layout for displaying team members with photos and info","Company team, contributors, case study team","team, members, grid, people, about",16:9,4:3,22pt,15ft,Medium,Medium
14,Timeline/Process,Process,"Title:Top; Timeline:Main; Description:Bottom","Horizontal or vertical timeline for chronological content","Project timeline, company history, roadmap, milestones","timeline, process, history, roadmap, milestones",16:9,4:3,22pt,12ft,High,Medium
15,Testimonial Grid,Social Proof,"Title:Top; Testimonial_Cards:Grid; CTA:Optional","Grid layout for multiple testimonials or reviews","Customer success stories, social proof, reviews","testimonials, reviews, social proof, cards",16:9,4:3,22pt,12ft,Medium,Medium
16,FAQ Accordion,Support,"Title:Top; Questions:List; Answers:Accordion","FAQ-style layout with questions and expandable answers","Address common concerns, Q&A preparation, support content","faq, questions, answers, support, concerns",16:9,4:3,24pt,12ft,Medium,Medium
17,Call to Action,Sales,"Title:Main; Subtitle:Secondary; CTA_Button:Prominent; Contact:Optional","Sales-focused slide with prominent call-to-action elements","Final slide, next steps, contact information, CTAs","cta, call to action, contact, sales, conversion",16:9,4:3,32pt,15ft,Very High,Low
18,Thank You/Closing,Closing,"Message:Main; Contact:Secondary; Social:Optional; QR:Optional","Closing slide with gratitude and contact information","Presentation closing, gratitude, follow-up, appreciation","thank you, closing, appreciation, contact",16:9,4:3,36pt,15ft,Very High,Low
19,Bio/About Speaker,Personal,"Title:Top; Photo:Left; Bio:Right; Links:Bottom","Two-column layout with speaker photo and biography","Speaker bio, company introduction, personal connection","bio, about, speaker, personal, introduction",16:9,4:3,22pt,12ft,Medium,Low
20,Stats/Impact Metrics,Impact,"Title:Top; Metrics:Grid; Context:Bottom","Grid layout emphasizing large numbers and key statistics","Key performance indicators, impact numbers, achievements","stats, metrics, numbers, impact, achievements",16:9,4:3,28pt,15ft,High,Low
21,Feature List,Feature,"Title:Top; Feature_Icons:Row; Feature_Descriptions:List","Icon-enhanced layout for product or service features","Product features, service benefits, capabilities","features, benefits, capabilities, icons",16:9,4:3,22pt,12ft,High,Medium
22,Problem/Solution,Persuasive,"Title:Top; Problem_Left:Left; Solution_Right:Right","Side-by-side problem and solution comparison","Problem-solution structure, challenges-opportunities","problem, solution, challenge, opportunity, structure",16:9,4:3,24pt,12ft,High,Medium
23,Agenda with Icons,Overview,"Title:Top; Agenda_Icons:List; Descriptions:Optional","Agenda with visual icons for each section","Visual agenda, creative overview, workshop structure","agenda, icons, visual, overview, creative",16:9,4:3,28pt,15ft,Medium,Medium
24,Full Image Background,Visual,"Title:Overlay; Background:Image","Title overlaid on full-bleed background image","Hero slides, impactful moments, emotional content","full image, hero background, overlay, impactful",16:9,4:3,48pt,20ft+,High,Medium
25,Video Frame,Media,"Title:Top; Video:Main; Caption:Bottom","Layout with embedded video placeholder and caption","Product demos, video content, multimedia presentations","video, demo, media, embed, multimedia",16:9,4:3,24pt,15ft,Medium,High
