Rule_ID,Presentation_Category,Applicable_Patterns,Primary_Style,Secondary_Style,Color_Mood,Typography_Mood,Default_Duration_Min,Max_Slides,Slide_Pacing_Seconds,Animation_Intensity,Transition_Style,Key_Effects,Decision_Rules,Anti_Patterns,Severity,Audience_Adaptation,Tone_Adjustment
11,Product Demo,"Product Demo,Feature Reveal","Interactive Demo + Hero-Centric","Vibrant & Block-based","Brand + Highlight colors","Modern + Clear: Title 44pt Body 24pt",20,18,66,High,Slide or Zoom,"Live demo + Feature appears","{""if_software"": ""live_demo"", ""if_hardware"": ""showcase_visuals"", ""if_complex"": ""simplify_flow"", ""if_simple"": ""go_deeper""}",Technical glitches + Rushed demo + Too many features + No recap,High,Technical_users:Deep_dive; General:Easy_understanding,Interactive_to_professional
12,Team Meeting,"Team Introduction,All-Hands Meeting","Social Proof-Focused + Trust","Vibrant & Block-based","Warm + Energetic colors","Friendly + Engaging: Title 40pt Body 24pt",30,25,72,Medium,Smooth Fade,"Recognition + Team highlights","{""if_new_team"": ""introduce_all"", ""if_recurring"": ""highlight_wins"", ""if_large"": ""include_qa"", ""if_small"": ""encourage_discussion""}",Too long + No interaction + One-way only + Boring,Medium,Team_leads:Acknowledge_wins; IC:Recognition,Supportive_to_engaging
13,Strategic Planning,"Strategic Roadmap,Quarterly Planning","Trust & Authority + Minimal","Glassmorphism","Professional blue + Navy","Clear + Strategic: Title 40pt Body 22pt",90,50,108,Low,Fade or Push,"Timeline builds + Data visualization","{""if_annual"": ""long_term_vision"", ""if_quarterly"": ""tactical_focus"", ""if_inclusive"": ""gather_input"", ""if_top_down"": ""present_decision""}",Unrealistic goals + Too vague + No ownership + Missing timeline,High,Executives:Vision; Managers:Tactics; IC:Actions,Strategic_to_focused
14,Executive Briefing,"Board Presentation,Executive Summary","Trust & Authority + Minimal","Minimalism","Navy + Grey + Gold accent","Professional + Authoritative: Title 40pt Body 20pt",30,20,90,Low,Fade only,"Executive summaries + Key metrics","{""if_board"": ""financial_focus"", ""if_executive"": ""strategic_focus"", ""if_decision_needed"": ""clear_options"", ""if_update"": ""progress_focus""}",Too much detail + Missing context + No recommendation + Verbose,Critical,Executives:Bottom_line; Board:Decisions,Authoritative_to_clear
15,All-Hands Company Meeting,"All-Hands Meeting,Company Update","Social Proof-Focused + Trust","Vibrant & Block-based","Company brand + Energizing","Friendly + Inclusive: Title 42pt Body 24pt",45,30,90,Medium,Smooth Fade,"Company news + Team recognition","{""if_quarterly"": ""metrics_review"", ""if_announcement"": ""exciting_reveal"", ""if_recognition"": ""celebrate_wins"", ""if_town_hall"": ""include_qa""}",Too corporate + No fun + Missing recognition + Long speeches,Medium,Leadership:Vision; All:Recognition,Professional_to_inclusive
16,Customer Presentation,"Case Study,Customer Success Story","Storytelling-Driven + Trust","Glassmorphism","Trust + Success colors","Warm + Professional: Title 40pt Body 24pt",20,18,66,Medium,Fade or Push,"Results reveals + Story progression","{""if_new_customer"": ""problem_alignment"", ""if_renewal"": ""value_recap"", ""if_expansion"": ""growth_opportunity"", ""if_upsell"": ""additional_value""}",Generic content + No customer data + Weak story + No CTA,High,Decision_makers:ROI; Users:Benefits,Persuasive_to_reassuring
17,Partner Enablement,"Sales Enablement,Partner Training","Trust & Authority + Accessible","Glassmorphism","Professional + Partner brand","Clear + Helpful: Title 40pt Body 24pt",45,35,77,Medium,Smooth Fade,"Process flows + Key takeaways","{""if_new_partner"": ""onboarding_focus"", ""if_product_update"": ""feature_highlight"", ""if_sales_enable"": ""objection_handling"", ""if_technical"": ""integration_details""}",Too salesy + Missing technical + No hands-on + Too long,Medium,Sales:Objections; Technical:Integration,Professional_to_supportive
18,Investor Update,"Quarterly Update,Board Update","Trust & Authority + Minimal","Minimalism","Professional blue + Neutral","Clear + Confident: Title 40pt Body 22pt",20,15,80,Low,Fade only,"Metric highlights + Progress updates","{""if_quarterly"": ""quarterly_metrics"", ""if_annual"": ""year_progress"", ""if_raise"": ""funding_update"", ""if_board"": ""governance_update""}",Surprises + Negative surprises only + No plan + Missing metrics,High,Investors:Progress; Board:Governance,Transparent_to_confident
19,Annual Kickoff,"Company Kickoff,Strategic Planning","Hero-Centric + Trust","Motion-Driven","Energizing + Bold","Bold + Inspiring: Title 48pt Body 26pt",60,40,90,High,Zoom or Slide,"Energy + Vision + Commitment","{""if_company_wide"": ""all_hands"", ""if_department"": ""team_focus"", ""if_new_strategy"": ""strategy_reveal"", ""if_goals"": ""goal_setting""}",Too long + No energy + Missing goals + No follow-up,High,Leadership:Vision; Managers:Goals; IC:Action,Inspiring_to_motivating
20,Product Strategy Review,"Product Strategy,Roadmap Review","Trust & Authority + Data","Glassmorphism","Strategic blue + Accent","Clear + Strategic: Title 40pt Body 22pt",40,30,80,Medium,Fade or Push,"Roadmap builds + Feature prioritization","{""if_strategy"": ""vision_first"", ""if_roadmap"": ""timeline_view"", ""if_prioritization"": ""impact_analysis"", ""if_decision"": ""clear_options""}",Missing context + No trade-offs + Vague timeline + No ownership,High,PMs:Details; Executives:Impact; Engineering:Effort,Strategic_to_clear
21,Competitive Analysis,"Comparison Presentation,Decision Matrix","Comparison + Data-Dense","Bento Grid","Competitive + Clear","Clear + Analytical: Title 40pt Body 20pt",25,20,75,Low,Fade or Push,"Comparison builds + Winner highlight","{""if_us_vs_them"": ""direct_comparison"", ""if_benchmark"": ""metric_analysis"", ""if_decision"": ""recommendation"", ""if_new"": ""market_position""}",Biased presentation + Missing weaknesses + No data + Weak conclusion,High,Decision_makers:Comparison; Executives:Summary,Analytical_to_clear
22,Innovation Workshop,"Design Thinking,Innovation Session","Inclusive Design + Creative","Organic Biophilic","Inspiring + Creative colors","Expressive + Clear: Title 40pt Body 24pt",90,40,135,High,Smooth Fade,"Idea generation + Voting + Next steps","{""if_ideation"": ""generate_ideas"", ""if_prototyping"": ""visualize_concepts"", ""if_validation"": ""test_plans"", ""if_decision"": ""prioritize""}",Too structured + No creativity + Dominant voices + No follow-up,Medium,Facilitator:Process; Participants:Ideas,Creative_to_focused
23,Compliance Training,"Regulatory Training,Compliance Update","Accessible & Ethical + Minimal","Minimalism","Professional + Warning colors","Clear + Authoritative: Title 40pt Body 24pt",45,35,77,Low,Fade only,"Key requirements + Consequences + Actions","{""if_new_regulation"": ""requirement_summary"", ""if_update"": ""changes_highlight"", ""if_mandatory"": ""deadline_emphasis"", ""if_voluntary"": ""benefit_focus""}",Too complex + No examples + Missing deadlines + Boring,High,All:Compliance_clear,Professional_to_serious
24,Change Management,"Organizational Change,Transformation","Trust & Authority + Social Proof","Glassmorphism","Calm + Trust colors","Clear + Empathetic: Title 40pt Body 24pt",40,30,80,Medium,Smooth Fade,"Change journey + Benefits + Support","{""if_announcement"": ""change_vision"", ""if_implementation"": ""support_resources"", ""if_resistance"": ""address_concerns"", ""if_milestone"": ""celebrate_progress""}",Too fast + No support + Ignoring concerns + Mixed messages,Critical,Change_agents:Details; Affected:Support; Leadership:Commitment,Empathetic_to_confident
25,Annual Meeting,"Shareholder Meeting,Member Meeting","Trust & Authority + Traditional","Minimalism","Formal + Traditional colors","Authoritative + Clear: Title 40pt Body 22pt",60,35,103,Low,Fade only,"Formal proceedings + Votes + Reports","{""if_formal"": ""follow_order"", ""if_votes"": ""proposal_details"", ""if_reports"": ""summary_focus"", ""if_social"": ""networking_time""}",Deviation from order + Missing votes + Too long + No Q&A,Critical,Shareholders:Formal_process; Members:Engagement,Formal_to_inclusive
