Extension_ID,Style_Category,Presentation_Suitability,Slide_Applications,Color_Scheme_Adaptation,Typography_Scale,Animation_Recommendations,Contrast_Requirements,Minimum_Font_Size,Slide_Title_Size,Slide_Body_Size,Slide_Number_Size,Projector_Safety_Score,Reading_Distance,Best_For_Presentation,Worst_For_Presentation,Complexity_Score,Accessibility_Notes
15,Motion-Driven,Medium,"Title Slide,Feature List,Product Demo","Adaptation: Use fewer, bolder animations. Ensure animations convey information, not just decorate.","Scale: Title 44-52pt, Body 24-28pt, Captions 18-20pt","Entrance: Slide In, Fade In; Emphasis: Grow; Transition: Push","Contrast Ratio: 5:1 minimum.","Title: 44pt, Body: 24pt, Captions: 18pt","44-52pt","24-28pt","12-14pt",7/10,15-25ft,"Creative presentations, Product launches, Demos","Board meetings, Conservative",High,"Animation should enhance, not distract. Keep animations purposeful."
16,Micro-interactions,Medium,"Title Slide,Feature List,Comparison","Adaptation: Use larger, bolder interactions. Ensure visible feedback at distance.","Scale: Title 44-52pt, Body 24-28pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Pulse; Transition: Fade","Contrast Ratio: 5:1 minimum.","Title: 44pt, Body: 24pt, Captions: 18pt","44-52pt","24-28pt","12-14pt",7/10,15-25ft,"Mobile app presentations, Interactive demos","Large audiences, Conservative",Medium,"Interactions must be visible. Use larger touch targets and bolder feedback."
17,Inclusive Design,Very High,"All slide types","Adaptation: Already optimized for visibility and accessibility.","Scale: Title 44-54pt, Body 26-32pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Appear; Transition: Fade","Contrast Ratio: 7:1 minimum (WCAG AAA).","Title: 44pt, Body: 26pt, Captions: 18pt","44-54pt","26-32pt","12-14pt",10/10,15-30ft,"All presentations - universal choice","None - universal",Low,"Best for accessibility. Works well for all audiences."
18,Zero Interface,Low,"Title Slide,Feature List","Adaptation: Avoid relying on voice/focus states. Use explicit visible indicators.","Scale: Title 44-52pt, Body 24-28pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Appear; Transition: Fade","Contrast Ratio: 5:1 minimum.","Title: 44pt, Body: 24pt, Captions: 18pt","44-52pt","24-28pt","12-14pt",6/10,15-25ft,"AI presentations, Voice-first demos","Conservative, Large audiences",High,"Zero UI requires context. Use visible cues and text labels."
19,Soft UI Evolution,High,"Title Slide,Section Divider,Feature List","Adaptation: Increase contrast. Use bolder shadows. Ensure visible depth cues.","Scale: Title 42-50pt, Body 24-28pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Soft Pulse; Transition: Fade","Contrast Ratio: 6:1 minimum.","Title: 42pt, Body: 24pt, Captions: 18pt","42-50pt","24-28pt","12-14pt",8/10,15-30ft,"Modern enterprise, SaaS platforms, Professional apps","Data-heavy, High contrast needed",Medium,"Good balance of aesthetics and visibility. Test depth cues."
20,Hero-Centric Design,Very High,"Title Slide,Product Launch","Adaptation: Works excellently. Ensure title text has contrast background.","Scale: Title 48-60pt, Body 24-30pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Zoom; Transition: Push","Contrast Ratio: 5:1 minimum. Use overlay on images.","Title: 48pt, Body: 24pt, Captions: 18pt","48-60pt","24-30pt","12-14pt",9/10,15-30ft,"Product launches, Keynote speeches, Marketing","Small rooms, Detailed content",Medium,"Excellent for impact. Ensure text readability on all backgrounds."
21,Conversion-Optimized,Very High,"CTA Slide,Thank You Slide","Adaptation: Works well. Ensure CTA buttons have high contrast.","Scale: Title 44-52pt, Body 24-30pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Grow with Color; Transition: Fade","Contrast Ratio: 7:1 minimum for CTA.","Title: 44pt, Body: 24pt, Captions: 18pt","44-52pt","24-30pt","12-14pt",9/10,15-30ft,"Sales presentations, Marketing, Landing pages","Educational, Formal",Low,"Clear CTAs work well. Ensure button contrast."
22,Feature-Rich Showcase,High,"Feature List,Comparison,Timeline","Adaptation: Use larger icons and text. Simplify complex layouts.","Scale: Title 42-50pt, Body 24-28pt, Captions 16-18pt","Entrance: Slide In; Emphasis: Pulse; Transition: Push","Contrast Ratio: 5:1 minimum.","Title: 42pt, Body: 24pt, Captions: 16pt","42-50pt","24-28pt","12-14pt",7/10,15-25ft,"Enterprise software, Complex products","Minimalist presentations",Medium,"Complex content needs clear hierarchy. Use progressive disclosure."
23,Minimal & Direct,Very High,"All slide types","Adaptation: Already projector-friendly. Excellent choice for all contexts.","Scale: Title 44-54pt, Body 24-32pt, Captions 18-20pt","Entrance: Fade In, Appear; Emphasis: Appear; Transition: Fade","Contrast Ratio: 7:1 minimum (inherent in style).","Title: 44pt, Body: 24pt, Captions: 18pt","44-54pt","24-32pt","12-14pt",10/10,15-30ft,"All presentations - universal choice","None - universal",Low,"Excellent reliability. Simple and effective."
24,Social Proof-Focused,High,"Testimonial Slide,Thank You Slide","Adaptation: Works well. Ensure testimonials are readable at distance.","Scale: Title 42-50pt, Body 24-30pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Color Font; Transition: Fade","Contrast Ratio: 5:1 minimum.","Title: 42pt, Body: 24pt, Captions: 18pt","42-50pt","24-30pt","12-14pt",8/10,15-30ft,"Sales, Trust-building, Customer success","Data-heavy, Technical",Low,"Social proof works well. Use large quotes and clear attribution."
25,Trust & Authority,Very High,"Title Slide,Agenda,Thank You Slide","Adaptation: Already formal and clear. Works excellently in all contexts.","Scale: Title 44-54pt, Body 24-32pt, Captions 18-20pt","Entrance: Fade In; Emphasis: Appear; Transition: Fade","Contrast Ratio: 7:1 minimum (inherent in style).","Title: 44pt, Body: 24pt, Captions: 18pt","44-54pt","24-32pt","12-14pt",10/10,15-30ft,"Corporate, Finance, Legal, All business","Creative, Entertainment",Low,"Best for formal presentations. Clear and authoritative."
